,filename,rmse,chroma_stft,spec_cent,spec_bw,rolloff,zcr,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,raga
0,Ranjani _ Gayathri - Evari Bodhana-1,0.01278555579483509,0.2399936165405621,1951.697184040547,1891.7864863439545,3555.1924928477115,0.12468915052816902,-511.7949775434561,86.20996852521213,10.364561224658235,40.12206304091327,4.861469181326924,-30.3923285076474,-0.4873640036459446,-17.414645943954472,-14.101391586878075,-5.693649871745947,-15.17904407150262,1.104093296195575,-17.780564452662883,-0.2001350038288662,-0.43582062489122864,-12.480106937038855,-6.837890790563908,-2.1831843036077756,-17.171059036029497,-3.7726841368381328,abhogi
1,Ranjani _ Gayathri - Evari Bodhana-2,0.01278555579483509,0.2399936165405621,1951.697184040547,1891.7864863439545,3555.1924928477115,0.12468915052816902,-511.7949775434561,86.20996852521213,10.364561224658235,40.12206304091327,4.861469181326924,-30.3923285076474,-0.4873640036459446,-17.414645943954472,-14.101391586878075,-5.693649871745947,-15.17904407150262,1.104093296195575,-17.780564452662883,-0.2001350038288662,-0.43582062489122864,-12.480106937038855,-6.837890790563908,-2.1831843036077756,-17.171059036029497,-3.7726841368381328,abhogi
2,Ranjani _ Gayathri - Evari Bodhana-3,0.0283790472894907,0.22193254827383874,1883.5124460109005,2247.9421473954017,3594.285871478873,0.06994525748239437,-376.58416628978335,84.04820066757408,-8.549069328953077,11.3441538469873,-11.332015445605592,-49.53412860392439,-5.711490462329583,-34.52018390047053,-20.800532551336378,-0.7057006859064705,-37.02620631776799,-1.0937949744768911,-27.327153036380633,-8.25942143063457,-11.660384835686584,-12.434607706325806,-3.2521504912541146,-4.5508364238842045,-10.578586254464248,4.79396797646184,abhogi
3,Ranjani _ Gayathri - Evari Bodhana-4,0.033440157771110535,0.2366983036092676,1950.3729325106124,1955.295768776254,3679.0084108164615,0.0914702079665493,-330.9778054702229,80.67054750488789,-51.881849470284386,5.5563983086936135,-23.71615109620044,-46.7398709115837,-9.6710286395277,-32.228497477501875,-8.027130361446643,0.7117250070311847,-34.43948663769927,-6.773110830811031,-19.528245434727403,1.2431689649865787,-6.776258486318839,4.296414811267295,8.140313021652386,7.229174509816425,-2.980965316490418,7.953486854518713,abhogi
4,Ranjani _ Gayathri - Evari Bodhana-5,0.026543114334344864,0.22221882536490445,1292.9731536410955,1275.8387784725755,2434.2982848261445,0.06559542803697183,-412.53591549372953,108.87761853575444,-32.21225870132439,11.927295306582664,-14.374336711895486,-34.323057901519626,-15.272608074198423,-27.71012766780298,-19.930740757260818,-3.762018853117723,-22.544559013636352,-19.035932267880106,-17.87658725980304,-0.9644720687179557,-3.497851698134757,-0.7333809517843318,3.863928515732564,6.89609059745867,-8.955238721022903,-5.086196046039489,abhogi
5,Ranjani _ Gayathri - Evari Bodhana-6,0.018361499533057213,0.25775930211932896,1648.1458853221038,1561.6456136893514,2895.13916015625,0.09152041153169015,-499.10113088499776,89.62877186165106,-3.9615390632041887,-2.7490783541499404,-17.940308169750473,-19.799036633436543,-4.172880597212367,-28.591709417554856,-16.997402414264958,4.165091070067796,-17.192696732596783,-5.793970537885186,-17.43545429849662,-3.271262960269808,-6.951605110346885,-9.304582757278375,-2.79821476401494,0.34407871193295675,0.5459561490969432,11.484664375182621,abhogi
6,Ranjani _ Gayathri - Evari Bodhana-7,0.028500070795416832,0.24835449356848746,1357.5251336890246,1431.6512775198657,2563.103233659771,0.06797012544014085,-386.2883083470259,128.34128295397775,-33.379993878163745,5.446625556551316,-38.26164282128892,-19.826619620296732,-4.952428494036421,-44.09138964208086,-14.61145769648562,9.720311312109445,-29.090625910341686,-11.719626277920169,-23.253005092022683,-5.9891049677104915,-10.256315840964401,-11.666398315485084,2.076907045851131,4.844913562168773,-1.7424414312743395,9.414890589175487,abhogi
7,Ranjani _ Gayathri - Evari Bodhana-8,0.023576103150844574,0.24763007878690338,1144.8880340936987,1169.6239351506083,2094.255646181778,0.05880831866197183,-414.236012210723,150.76336628566722,-31.86010186884488,17.705858542248073,-28.511728140639455,-24.851603911253335,-1.458166620505133,-39.798621164686956,-12.319811119198002,8.15019521004749,-20.17673027481182,-10.27583851965644,-15.471603613994867,-6.9188654827515075,-7.533288051168891,-12.660554008365093,0.2757686355620303,-0.020508766212314712,-8.019353917985546,3.3250521181154062,abhogi
8,Ranjani _ Gayathri - Evari Bodhana-9,0.025950293987989426,0.23120095165570356,1667.4842913026876,1426.0503079256898,2965.4101906360033,0.09650775748239436,-415.6526142598261,106.90126046907312,-53.880910259579174,6.403414188235691,-36.04678973128599,-34.621889915946824,-3.6357159662057392,-40.509303432788535,-6.115538664426795,6.228464207137091,-29.85313138254114,-8.233954350204103,-15.087044421368836,-5.595823642618444,-10.37123494474212,-3.4666722346314414,6.33942167583492,14.144404566775858,8.037714481101704,15.820761313279156,abhogi
9,Ranjani _ Gayathri - Evari Bodhana-10,0.030689680948853493,0.23429609464775067,1488.26908262596,1560.5675214414118,2745.6956976232395,0.06931393045774648,-377.1248735886675,111.43072681677029,-48.84279966665997,-7.62973424213096,-41.178051913557766,-29.354337262991592,-17.847567746967755,-39.66136548284319,-18.638920861680287,4.630331932544158,-37.37817045977349,-10.066028597498267,-19.08465466043385,-2.1372711820399526,-7.001569851868121,-1.402066611460199,6.5921240427410925,12.125170390811842,4.519529043103344,12.185544897054038,abhogi
